Neologism,Explanation(English),Category,Mood,Channel,Age Group,Example Sentence,Background(English),Year,Whom to Use,Type,Language
고나리자,"troublemaker, self-proclaimed administrator, unofficial administrator",Negative Experiences,Negative,Community,10s-20s,고나리자 모드 ONㅋㅋ 또 다 지적 중임,"The word 'administrator' was a typo made while typing quickly, but it has been used as a slang term.",2014,Casual,Word,Korean
구취,unsubscribing,Hobbies,Negative,"Broadcast,Youtube",10s-30s,나 그 유튜버 구취했어. 논란있는 유튜버더라..,"The Korean text translates to: A slang term used on YouTube, which is an abbreviation for 'unsubscribe'.",2020,Casual,Word,Korean
그 잡채,Just for the fun of it,Humor and Exaggerated,Neutral,Community,10s-20s,이 코디 진짜 꾸안꾸 그 잡채다,"This is a phrase that started trending on Twitter, replacing the word 'itself' with 'japchae', a food that has a similar pronunciation.",2022,Casual,Word,Korean
깔미,omeone you hate for no reason,Relationships,Negative,null,10s-20s,걔는 뭘해도 계속 깔미야..,An abbreviation often used when gossiping about or evaluating someone.,2017,Casual,Word,Korean
꾸웨엑,Do you regret it? or Don't regret it!,Humor and Exaggerated,Neutral,Twitter,10s-20s,(남친과 헤어진 친구에게) 걔랑 헤어진거 꾸웨엑????,"This was spread through Twitter on December 29, 2022, and was born as a humorous anecdote due to a misunderstanding of the phrase 'Do you regret it?' which sounds similar to 'Kkuewek'.",2022,Casual,Word,Korean
나일리지,age as mileage,Conversational,Neutral,Community,20s-30s,나일리지 때문에 젊은 사람이 더 유리한 경우도 많아,"This is a new term that emerged from DC Inside, used sarcastically to criticize the culture in South Korea where hierarchy is determined by age.",2018,Casual,Word,Korean
럭키비키,lucky+Vicky(IVE wonyoung's English name),Positive Experiences,Positive,Twitter,10s-20s,이 얼굴에 저 성격? 럭키비키 그 자체,"The trend started with Jang Won-young, a member of a Korean idol group, and a phrase used in her fandom, and began to spread popularly through Twitter.",2023,Casual,Word,Korean
머선129,what's going on?,Humor and Exaggerated,Neutral,Broadcast,10s-20s,갑자기 헤어졌다니… 머선129…?,"The phrase '무슨 일이고', often used by the internet broadcaster BJ Nanninggu, has been modified and popularized by another internet broadcaster, BJ Rallo.",2020,Casual,Phrase,Korean
무물보,"I don't want anything, I'm just here to see",Conversational,Neutral,Instagram,10s-20s,오늘 무물보 열어봅니다💬 궁금한 거 다 던져~,"The term used to refer to the ""Ask a Question"" feature in Instagram Stories among social media platforms.",2023,Casual,Word,Korean
물음표 살인마,Question Mark Killer,Negative Experiences,Negative,Community,10s-20s,진짜 물음표 살인마임. 대답해도 또 물어봄ㅋㅋ,"This term is mainly used in social situations to refer to a person who asks a lot of questions, even in casual conversations.",2017,Casual,Word,Korean
박박,amazing+amazing=super amazing,Conversational,Positive,null,10s-20s,나 오늘 TWS 홍대에서 봤어!! 얼굴 완전 박박이야!!,This phrase was mainly used by teenagers and spread as a trendy slang. It emphasizes the meaning by repeating the last letter of 'Daebak' (a Korean word meaning 'huge success' or 'jackpot').,2021,Casual,Word,Korean
방방봐,ake it as a broadcast,Hobbies,Neutral,"Broadcast,Youtube",20s-30s,과몰입 금지~ 방방봐 하자 그냥,"This phrase started to be used in internet live broadcasts like AfreecaTV and Twitch. It is used to emphasize that even if excessive concepts or behaviors are used, it's just for the show.",2020,Casual,Phrase,Korean
복복복,"hit or miss"" 또는 ""it's a toss-up""",Humor and Exaggerated,Positive,Twitter,20s-30s,어우 우리 강아지~ 복복복해줄까~?,"The term is presumed to have originated from '복복', an onomatopoeia in Korean that describes the sound made when scratching a soft surface. It is frequently used in fandom communities of idols, athletes, and the like.",2023,Casual,Word,Korean
분모자처럼 뽑네,he/she is good at something,Humor and Exaggerated,Positive,null,10s-20s,요즘 드라마 걔 분모자처럼 뽑히는 중,"The new slang term 'Bunmoja', which gained popularity through 'Mukbang', a broadcast that involves eating food, is used to describe the well-growing and chewy texture of food ingredients.",2023,Casual,Phrase,Korean
분조장,Intermittent Explosive Disorder,Negative Experiences,Negative,null,10s-20s,팀플하다가 분조장 와서 참고 있음…,"The term 'anger management disorder' is a psychiatric term, but it is also used in daily life as incidents of easily getting angry or expressing anger over trivial issues are increasing.",2023,Casual,Word,Korean
비활탄다,"temporarily deactivating an account, taking a break from social media ",Hobbies,Negative,Instagram,10s-20s,잠수 탈래… 비활탄다 지금,"The term '비공개 활성화' is an abbreviation for 'private activation', used when temporarily cutting off contact with others by deactivating social network service accounts like Facebook or Instagram.",2016,Casual,Phrase,Korean
사바사,"person-by-person, depends on the person",Conversational,Neutral,Twitter,All,이거 맛있냐고? 사바사임,"It means that it varies depending on the individual and the situation, and it is a shortened expression of 'person by person', applying the phrase 'case by case'.",2019,Casual,Word,Korean
상사병,"boss-sickness, superior-induced illness",Negative Experiences,Neutral,null,10s-20s,상사 ㄹㅇ 연락 안왔으면 좋겠다.. 요즘 상사병 걸려서 회사가기 너무 싫어..,"The term 'boss disease' has started to be used by employees who are stressed out by their superiors at work. The term 'boss' is a modified version of the word 'sangsa' from 'sangsabyeong', which means a disease that men and women develop due to longing.",2018,Casual,Word,Korean
설참,"read the description, see the description",Hobbies,Neutral,Youtube,10s-30s,정보 궁금하면 설참 해놨어요~,This term is a shortened phrase advising elementary school students to refer to the description when uploading YouTube content. It gained popularity through its use by the elementary school YouTuber 'Ttiye'.,2020,Casual,Word,Korean
오저치고,"Today dinner for chicken, okay?",Conversational,Neutral,Broadcast,10s-20s,배고프다… 오저치고?,"This Korean text translates to English as: ""Chicken Go tonight?"" is a new slang term related to chicken, a preferred food among Koreans, and is an abbreviation of the phrase.",2020,Casual,Word,Korean
스카,study cafe,Conversational,Neutral,null,20s-30s,오늘 완전 갓성비 쩌는 스카 다녀옴,"The abbreviation for 'Study Cafe', a learning space that combines the characteristics of a reading room and a cafe.",2020,Casual,Word,Korean
오하운,Have a great workout today,lifestyle,Neutral,Instagram,20s-30s,오하운 완료! 땀 뻘뻘,"The term 'Today's Exercise', abbreviated, is a word used by the MZ generation who prioritize self-care in relation to health management.",2021,Casual,Word,Korean
키캉스,Kids + Vacance = Kidcation,lifestyle,Neutral,null,30s~,이번엔 부부끼리 말고 키캉스로 다녀왔어. 키즈풀장 개좋더라,"Translate this Korean text to English: Due to COVID-19 restrictions on outdoor activities, a compound word of 'Kids' and 'Hotel Vacations', which refers to spending a vacation in a hotel with children and enabling activities without using smartphones.",2022,Casual,Word,Korean
머글,"Non-fan, outsider",Hobbies,Neutral,Twitter,10s-30s,머글 친구한테 설명하다 포기함,"The term originates from 'Muggle', a word used in the movie 'Harry Potter' to refer to people without magical abilities, and is used to refer to people who are not interested in cultural phenomena such as animation or idols.",2016,Casual,Word,Korean
흙수저,From a poor background,Economy,Negative,Community,20s-30s,집안이 금수저였으면 벌써 사업하고 있었지 흙수저가 웁니다,"This originates from the idiomatic expression 'born with a silver spoon in his mouth,' used in Europe until the 17th century, where having a silver spoon was considered a symbol of wealth and people used to carry their own spoons.",2015,Casual,Word,Korean
헬조선,Hell-Joseon (used as-is in Korean pop culture studies),Economy,Negative,Community,20s-30s,헬조선 탈출해서 해외 취업 알아보는 중,"This term originated from the history gallery of DC Inside, a Korean online community. It combines the English word ""Hell,"" which implies a terrible situation, with ""Joseon,"" referring to both the old Joseon and modern Korea. The term was coined to express the idea that both past and present Korea are in a dire state, and it has since spread widely.",2010,Casual,Word,Korean
ㅈㅂㅈㅇ,Info pls,Hobbies,Neutral,Instagram,10s-20s,어디가면 아이브 볼 수 있나요??? ㅈㅂㅈㅇ..,"The term, which started to be used due to the characteristic of sharing and exchanging information about products or services online, is derived from the initial consonants of the Korean phrase 'I need some information'.",2020,Casual,Phrase,Korean
애빼시,Person full of charm,Conversational,Neutral,null,10s-20s,걔 진짜 애빼시야. 애교 없으면 성격 몰라봄ㅋㅋ,"The phrase '애교 빼면 시체' often used in internet broadcasts is abbreviated as 'Without charm, just a corpse'.",2017,Casual,Word,Korean
좋못사,Love it too much,Relationships,Positive,Community,10s-20s,걔가 웃는 거 볼 때마다 나 좋못사 상태야,"This Korean text translates to English as: A phrase that started to be used in the 'Produce 101' gallery of DC Inside as the Korean K-Pop idol audition program 'Produce 101' became popular. It's an abbreviation of the phrase 'I don't just like it, I love it'.",2016,Casual,Word,Korean
웃안웃,laughable but not funny,Conversational,Neutral,Twitter,10s-20s,시험 공부를 열심히 했는데 문제가 하나도 안나왔어ㅋㅋㅋ 웃안웃임,"This phrase started to be used on Twitter. It refers to a situation where you can't laugh comfortably or find it funny, but you still give a hollow laugh. It's used as an abbreviation for the phrase ""it's funny but not funny.""",2020,Casual,Word,Korean
제곧내,Title says it all,Conversational,Neutral,Community,20s-30s,제목: 오늘 미팅 어디서 모이나요? 내용: 제곧내,"When writing posts in an online community, if the content of the body and the title are the same, allowing the content of the body to be inferred just from the title, the phrase 'the title is the content' is used as a shorthand. This is to allow readers to understand the content just by looking at the title, eliminating the need to click on the post.",2020,Casual,Word,Korean
좋댓구알,"like, comment, subscribe, notification",Hobbies,Neutral,Youtube,All,오늘도 영상 좋댓구알 부탁드립니다~,"This term originated from Kim Sung-hui of G-style Encyclopedia using it at the end of his videos to promote his channel. It's an abbreviation for 'like, comment, subscribe, and set notifications'.",2021,Casual,Word,Korean
격친,Bestie,Relationships,Positive,null,10s-20s,저런 MBTI면 나 진심 격친하고 싶음ㅋㅋ,The abbreviation of the phrase 'to get along intensely close'.,2006,Casual,Word,Korean
편리미엄,convenience premium,lifestyle,Neutral,Broadcast,20s-30s,요즘 다 편리미엄 보고 돈 씀. 시간이 더 중요함,The term referring to consumers who seek convenience that can save time and effort is a compound word of 'convenience' and 'premium'.,2019,Casual,Word,Korean
폼 미쳤다,That's amazing!,Positive Experiences,Positive,Broadcast,10s-30s,와 걔 이번 무대 폼 미쳤다 ㄹㅇ,"Lee Joo-heon, a football commentator who goes by the name 'Choomen' and operates the YouTube football-specialized channel 'EstarTV', began using this phrase when he behaved inappropriately during a broadcast with an internet broadcaster BJ named Gamst. It started to become known to the public when Kim Jong-ho, a travel YouTuber, used it in his videos.",2018,Casual,Phrase,Korean
필터 씌었다,be blinded by love,Relationships,Neutral,null,10s-20s,나한테만 귀여워 보이는 거 보니까 필터 씌었네,"This phrase is a modification of the old saying 'wearing a bean shell', and it is used to describe the phenomenon of appearing different when using filters in a camera app.",2023,Casual,Phrase,Korean
항마력,power of endurance,Negative Experiences,Negative,Broadcast,10s-30s,이 영상 항마력 테스트다 진짜ㅋㅋㅋ,"The term '항마력' is derived from the Buddhist term '항마', which means to subdue the devil, referring to Siddhartha Gautama's defeat of Mara, who tempted him before he attained enlightenment. The Chinese character '력', meaning power, is added to form the word. This term is used and popularized in popular games like Dungeon & Fighter.",2019,Casual,Word,Korean
옾눞 롬곡,a torrent of tears,Humor and Exaggerated,Negative,Community,10s-20s,롬곡옾눞… 오늘도 감성 폭발,The neologism expressed with characters that look similar when the Korean word '폭풍눈물' (storm of tears) is reversed.,2018,Casual,Word,Korean
머통령,president,Conversational,Neutral,Community,10s-20s,망할 머통령!!,"This expression originated from DC Inside's Yaminjeongeum, which changes the Korean alphabet to similar shapes to represent different words. The term 'President' is replaced with the character '머', which looks similar to '대', the first letter of '대통령' (President), creating a new slang term.",2017,Casual,Word,Korean
머한민국,Korea,Conversational,Neutral,Community,10s-20s,물가 실화냐? 진짜 머한민국ㅋㅋ,"This phrase originated from DC Inside's Yaminjeongeum, which replaces Korean alphabets with similar-looking ones to represent words differently. The neologism was created by substituting the first letter of the word '대한민국' (Republic of Korea), '대', with a similar-looking character, '머'.",2017,Casual,Word,Korean
머박,Amazing,Conversational,Neutral,Community,10s-20s,이번 무대는 머박이야. 박수 박수,"This expression originated from DC Inside's Yaminjeongeum, which changes the Korean alphabet to similar shapes to represent different words. The term '대박' is replaced with the character '머', which has a similar shape to the first character '대', creating a new slang term.",2018,Casual,Word,Korean
JMT,Super delicious,Positive Experiences,Positive,null,All,이거 JMT임. 꼭 먹어봐,"The English alphabet notation of the newly coined term '존맛탱', which is a combination of '존맛', an abbreviation of '존나 맛있다' (extremely delicious), and '졸귀탱', a term used by the fandom community of 'Taeyeon', a member of the South Korean K-pop idol group 'Girls' Generation', which is a combination of '탱구' (Taengoo, a nickname for Taeyeon) and '졸라 귀엽다' (extremely cute).",2018,Casual,Word,Korean
좋페,Like for a message,Hobbies,Neutral,Facebook,10s-20s,게시글 좋은 것들 좋페합니다~,"This term originated from the SNS channel Facebook, and it's a shortened way of saying that if you press the 'like' button to show your approval on a post, a message will be sent via Facebook Messenger.",2018,Casual,Word,Korean
하드캐리,Hard carry,Hobbies,Positive,Broadcast,10s-30s,오늘 경기 하드캐리한 건 걔다 걔,"This term originated from gaming jargon, but is also used in everyday life. It is a word used to emphasize a 'carry', which refers to a person or play that has led the game to success to the extent that everyone in the team play acknowledges it.",2015,Casual,Word,Korean
믿거페,"Pages to avoid, Untrustworthy Facebook pages",Negative Experiences,Negative,Facebook,20s,이 작가 또 삼각관계야? 믿거페 추가요,"The phrase ""Trust and Filter Facebook"" has been abbreviated and used in response to the continuous posting of inappropriate or commercial viral marketing advertisements, or unreliable information on Facebook.",2017,Casual,Word,Korean
걸조,handsome guy or pretty women,Beauty,Positive,null,10s-20s,비율 뭐냐… 걸조 그 잡채네,"This neologism, a shortened version of 'walking sculpture', was created to metaphorically refer to a handsome man.",2010,Casual,Word,Korean
이븐하다(even하다),even,Positive Experiences,Positive,Broadcast,10s-20s,둘 다 잘했어. 완전 이븐하다 이건,"The phrase, which appeared in the cooking survival program 'The Chef in Black and White' on the OTT service 'Netflix', was used by chef An Sung-jae to express that the food was cooked evenly. He incorporated the English word 'even' into his sentence, which has since become trendy and widespread.",2024,Casual,Phrase,Korean
느좋,good vibe,Beauty,Positive,Twitter,10s-20s,이 사진 느좋이야… 무드 끝장나,"This is a new slang term spread through SNS, which means that the atmosphere is good, such as photos and fashion items, and it encompasses the surroundings rather than the person, meaning it feels good. It is used as an abbreviation.",2024,Casual,Word,Korean
Who Made This,using when food is wholly great,Positive Experiences,Positive,null,10s-20s,이 음식 완전 존맛탱!! Who Made This~~~,"Around 2018, a video went viral where a foreign man passionately yelled towards the kitchen, ""Who made this chicken?"" and then unexpectedly used the phrase ""Because I love it"" to express that the food tasted very good. This trend also caught on in South Korea.",2024,Casual,Phrase,Korean
chill하다,chill,Positive Experiences,Positive,Tiktok,20s,오늘 분위기 chill하다. 재즈 틀고 커피 한 잔,"The term, derived from the English expression 'Chill' meaning calm, began to be used more frequently when a character from a digital art piece uploaded by an artist named Philip Banks on the SNS channel X started to become popular as a meme.",2024,Casual,Phrase,Korean
관크,"audience critical, auditorium disruptive",Hobbies,Negative,null,10s-30s,팝콘 우걱소리 관크임 제발 조심해줘요,"The term 'Audience Critical' is an abbreviation, referring to a person who disrupts the viewing experience. It is primarily used in games, borrowing from the English word 'critical', which means 'decisive', and is used to imply inflicting decisive damage on the opponent. 'Audience Critical' is a compound word created by attaching the word 'audience' to 'critical'.",2015,Casual,Word,Korean
겠냐,it won't,Conversational,Negative,Youtube,10s-20s,너 남친있어?? 있겠냐 ㅡㅡ,This phrase is used on Twitter and online communities as a slang term to emphasize something that cannot be done.,2022,Casual,Phrase,Korean
프래밀리,friend who is like family,Relationships,Positive,null,20s-30s,이제 가족보다 프래밀리가 더 편함,"This Korean text translates to English as: A neologism meaning friends who are like family, created by combining the English words 'Friend' and 'Family'. This word reflects the changing perceptions of living arrangements and family structures due to the increase in single-person households and non-marriage trends in Korea.",2015,Casual,Word,Korean
혼틈,"taking advantage of the chaos, seizing the opportunity in the confusion, or making the most of the confusion",Conversational,Neutral,Community,20s-30s,점심 먹고 혼틈에 카페 가는 루틴 좋음,This is a newly coined term that refers to the act of seizing an opportunity during a moment of confusion in situations like at a company.,2019,Casual,Word,Korean
헬창,"gym rat, gym bro",Hobbies,Neutral,Community,20s-30s,아침 공복 유산소부터 한다고? 헬창 인정,"The term first appeared as a compound word in the game Dungeon & Fighter, where it was often used to refer to the act of visiting a PC room early in the morning to play in the 'Hell' party to get the highest-grade items. This act was colloquially referred to as 'M Chang Life'. The meaning later changed, with 'Hell' being altered to the first letter of 'Health', and was used in this transformed context. It was mentioned in the powerlifting minor gallery of DC Inside and spread in everyday life with a meaning related to health.",2015,Casual,Word,Korean
득근,"gain muscle, get stronger, build muscle",Hobbies,Positive,Community,10s-30s,운동인들끼리 득근하세요~,The newly coined phrase 'gaining muscles' has become commonly used in daily life due to the popularity of online home training content on platforms like YouTube after the outbreak of COVID-19.,2020,Casual,Word,Korean
sexy food,"amazing food, delicious food",Humor and Exaggerated,Positive,Instagram,20s,이건 그냥 sexy food지… 맛이 진짜 예술임,"Translate this Korean text to English: The term referring to cases where food is emphasized for its visual appeal on social media, rather than simply being something to eat when hungry.",2025,Casual,Word,Korean
막나귀,Too lazy to go out now,Conversational,Negative,Instagram,10s-20s,밥 먹자고 내가 먼저 말했는데 지금 막나귀 상태임…,,2025,Casual,Word,Korean
마음 맞는 할배 있으면 당연히 떠들어야겠지,"If there’s an old man who gets me, of course I should chat with him.",Conversational,Neutral,Twitter,10s-20s,오타쿠: 덕질 안 하려고 했는데… 마음 맞는 할배 있으면 떠들어야겠지?,"The new slang term originated from the YouTube channel 'Yeo Dan Oh'. It was introduced in a story about an international couple who had a lengthy conversation with a taxi driver. The phrase was used by the Chinese boyfriend whose Korean expression was awkward, and it spread as a meme. The main subscribers of the 'Yeo Dan Oh' channel, women in their 20s and 30s, have adapted and used it on platforms like Naver blogs.",2024,Casual,Phrase,Korean
테무,Temu (shopping app),Humor and Exaggerated,Neutral,null,10s-30s,나 또 테무로 9천 원 날림… 근데 탬버린 개귀여움ㅋㅋ,"The term originated from the fact that products purchased from 'Temo', a Chinese online shopping mall, are inexpensive but of poor quality. It is used when a certain person or object vaguely resembles another.",2024,Casual,Word,Korean
무민세대,Those who find joy in the meaningless,lifestyle,Neutral,null,20s,요즘 애들 무민세대 맞다. 감정 표현 잘 안 하더라,"This term is a combination of the Chinese character '무', which means 'non-existent', and the English word 'mean', which means 'significance'. It originated from the concept of choosing to live one's life with interest, according to one's own direction and standards, even in things that are socially deemed meaningless.",2019,Casual,Word,Korean
랜선생님,internet teacher,Relationships,Positive,Youtube,10s-30s,유튜브 댓글 보다가 랜선생님 만났잖아,"It refers to someone who, although met online, gives great lessons like a teacher.",2025,Casual,Word,Korean
위쑤시개,spicy food,Conversational,Neutral,Youtube,10s-20s,아 위쑤시개 땡기지 않냐?,"The phrase originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppadernus', where he fabricated new slang words for the year 2025. After the video was uploaded, people actually started using it, and it spread as a new slang term.",2025,Casual,Word,Korean
한풀루언서,A sigh-fluencer,Relationships,Negative,Youtube,20s,야 한풀러언서 또 왔다,"The phrase originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppaddernuss', where he fabricated new slang for the year 2025. After the video was uploaded, people actually started using it, and it spread as new slang.",2025,Casual,Word,Korean
무지컬,Lacking both brains and brawn,Relationships,Negative,Youtube,10s-20s,쟤 무지컬 쩐다~,"The phrase originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppaddernuss', in which he fabricated new slang words for the year 2025. After the video was uploaded, people actually started using it and it spread as new slang.",2025,Casual,Word,Korean
손절미,Cut someone out of my life,Relationships,Negative,Youtube,10s-20s,너 맨날 지각하는거 되게 손절미 있다.,"The phrase originated from a content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppadernus', where he fabricated new slang words for the year 2025. After the video was uploaded, people actually started using it, spreading it as a new slang word.",2025,Casual,Word,Korean
테무인간,"someone who appears hardworking and productive, but whose output lacks quality and polish — quantity over quality, often rushed or sloppy despite visible effort.",Relationships,Neutral,Youtube,10s-30s,쟤는 엄청 바쁘기만 하고 은근 테무인간이야.,"The phrase originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppaddernuss', where he invented fake slang words for the year 2025. After the video was uploaded, people actually started using it, and it spread as a new slang term.",2025,Casual,Word,Korean
밥플릭스,Mealtime streaming,Conversational,Neutral,Youtube,All,야 너 요즘 밥플릭스 뭐 있어?/ 난 지락실!,"The phrase originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppaddernuss', where he invents fake slang for the year 2025. After the video was uploaded, people actually started using it, and it spread as a new slang term.",2025,Casual,Word,Korean
수발새끼,A pushover who caters to someone’s every need,Relationships,Negative,Youtube,20s,야 이번 여행 수발새끼 몇 명이야?,"The phrase originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppadderneus', where he fabricated new slang words for the year 2025. After the video was uploaded, people actually started using it, and it spread as a new slang term.",2025,Vulgar,Word,Korean
윗치다꺼리,Corporate servant cleaning up the boss’s mess,Negative Experiences,Negative,Youtube,10s-20s,너 오늘 윗치다꺼리 하느라 고생 많았다.,"The term originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppaddernuss', where he fabricated new slang words for the year 2025. After the video was uploaded, people actually started using the term and it spread as a new slang word.",2025,Casual,Word,Korean
진지스칸,Over-serious mood killer,Relationships,Neutral,Youtube,10s-20s,팀플 제대로 하려면 진지스칸 한 명은 있어야 돼.,"The phrase originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppaddernus', where he falsely invented new slang for the year 2025. After the video was uploaded, people actually started using it, spreading it as new slang.",2025,Casual,Word,Korean
릴셉션,Losing track of time watching Reels before bed,Conversational,Neutral,Youtube,20s,어제 릴셉션 걸려서 2시간 만에 겨우 나왔어.,"The phrase originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppadernus', where he fabricated new slang for the year 2025. After the video was uploaded, people actually started using it, and it spread as new slang.",2025,Casual,Word,Korean
고민세,Overthinking tax,Economy,Neutral,Youtube,20s-30s,테슬라 살까말까 하다가 괜히 고민세만 더 냈어,"The phrase originated from a content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppadernus', where he fabricated new slang words for the year 2025. After the video was uploaded, people actually started using it, spreading it as a new slang.",2025,Casual,Word,Korean
모디슈머,Modifying Consumers → Customizing or remixing consumers,Economy,Neutral,null,10s-30s,야 너 그거 그냥 먹어? 모디슈머답게 뭐 좀 추가해봐ㅋㅋ,"The term is a compound of the English word 'modify', which means 'to change', and 'consumer'. It refers to the act of consumers re-creating existing products into new recipes and products according to their own tastes, preferences, and methods.",2017,Casual,Word,Korean
내시피족,My-cipe Tribe or Custom Recipe Creators,Hobbies,Neutral,null,20s-40s,나는 밀키트도 내시피대로 조리해. 설명서는 참고일 뿐이지. 그래서 난 내시피족이야~,"The compound word 'Modisumer' is a combination of the English word 'modify', meaning 'to change', and 'consumer'. It represents an evolved concept in the food industry. As the number of people in their 20s and 30s who cook at home increases, it refers to the act of creating something new with their own combinations and recipes.",2019,Casual,Word,Korean
배타인지,"Satiety awareness, Hunger fullness scale",Conversational,Neutral,Youtube,10s-20s,지금 이게 배고픈건지 아닌지 배타인지가 안되네..,"The term originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppadernus', where he fabricated new slang words for the year 2025. After the video was uploaded, people actually started using it, and it spread as a new slang term.",2025,Casual,Word,Korean
내원내,The version of myself I aspire to be,Relationships,Neutral,Youtube,10s-20s,왜 했냐고? 내원내지 뭐ㅋㅋ,"The phrase originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppaddernuss', where he fabricated new slang words for the year 2025. After the video was uploaded, people actually started using it, and it spread as a new slang term.",2025,Casual,Word,Korean
니원내,The version of me you expect,Relationships,Neutral,Youtube,10s-20s,니원내~ 난 패스,"The phrase originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'FasterNess', where he fabricated new slang words for the year 2025. After the video was uploaded, people actually started using the phrase, spreading it as a new slang term.",2025,Casual,Word,Korean
선원내,he student my teacher wants me to be,Relationships,Neutral,Youtube,10s-20s,계속 태클 걸면 선원내 각임,"The phrase originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'Faster News', where he fabricated new slang words for the year 2025. After the video was uploaded, people actually started using it, spreading it as new slang.",2025,Casual,Word,Korean
부원내,he child my parents envision,Relationships,Neutral,Youtube,10s,방 청소? 부원내ㅋㅋ,"The phrase originated from the content created by YouTuber Moon Sang-hoon of the YouTube channel 'Ppaddernuss', where he fabricated new slang words for the year 2025. After the video was uploaded, people actually started using the term, spreading it as a new slang.",2025,Casual,Word,Korean
여미새,"Simp, who is crazy about woman/girl/ lady",Relationships,Negative,Community,10s-20s,아 여미새... 쟤 좀 말려봐.. 쪽팔리게...,The term '돈미새' is derived from the online broadcast channel 'Twitch' streamer 'LookSam' shortening the phrase '돈에 미친 새끼' (literally meaning 'bastard crazy for money'). It has been further adapted by substituting the word '여자' (woman) into the term.,2018,Casual,Word,Korean
남미새,"Simp, who is crazy about man/boy/ gentlemen",Relationships,Negative,Community,10s-20s,쟤 또 남친 얘기만 함… 남미새야 진짜,"The term '돈미새' is derived from the online broadcaster 'Looksam' on the 'Twitch' channel, who shortened the phrase '돈에 미친 새끼' (a bastard crazy for money). It is used by substituting the word '남자' (man) into this new slang.",2018,Casual,Word,Korean
채채봐,Don't take chat too seriously.,Hobbies,Neutral,Broadcast,10s-20s,채채봐 안 보면 손절임,"The term started to be used in internet live broadcasts like AfreecaTV and Twitch, and it is used to refute the overinterpretation or distortion of chat content.",2020,Casual,Phrase,Korean
언택트,Contactless,Relationships,Negative,Broadcast,All,언택트 시대에 적응 못 하면 못 살아,"A term frequently mentioned after the COVID-19 pandemic, it refers to minimizing direct contact or face-to-face meetings.",2020,Casual,Word,Korean
렬루,For real,Humor and Exaggerated,Neutral,Community,10s-20s,렬루 화났음. 진심임,"This is a newly coined term that combines the English word 'Real' with the Korean phrase '정말로?', which translates to 'Really?'. The term '리얼루?' is a quick pronunciation variant of this combination.",2017,Casual,Word,Korean
강직인,"Dedicated professional, Hardworking individual",Hobbies,Neutral,null,20s-30s,나 요즘 강직인이야! 완전 집가면 힐링 그 잡채!!,"The term used to refer to working professionals who raise pets, specifically used in internet communities to share related experiences in a self-deprecating manner.",2020,Casual,Word,Korean
킹리적갓심,Highly suspicious,Conversational,Neutral,Community,10s-20s,걔 일부러 저러는 거 아냐? 킹리적갓심 드네,"This neologism is a combination of the English words 'king', which means king, and 'god', which means god, with the term 'reasonable doubt'. It is a word used to emphasize when harboring doubts.",2018,Casual,Word,Korean
주불,Order not available,Conversational,Neutral,Broadcast,10s-20s,후기 궁금하면 주불해,"The term ""주소 불러"" is a shortened form of a phrase used in online activities such as social networking sites (SNS) and games. It is used when a fight breaks out, implying an invitation to meet and fight in real life. It is also used in situations where an address needs to be obtained for receiving gifts or parcels. This is a newly coined term in Korean.",2021,Casual,Word,Korean
쩝쩝박사,Unsolicited food commentator,Conversational,Positive,Youtube,All,이거 조합 ㄹㅇ 쩝쩝박사급이다,"This is a newly coined term referring to a person who has a high level of knowledge about food or knows a lot about related restaurants. It is a compound of the sound 'chomp chomp' made when eating food and the word 'doctor', indicating a lot of knowledge.",2021,Casual,Word,Korean
누물보,Did anyone ask?,Conversational,Negative,Community,10s-20s,갑자기 쓸데없는 정보 뭐야;; 누물보임,A word used to mock the author's post on an online bulletin board as useless information.,2020,Casual,Word,Korean
까리하다,"Stylish, cool, chic",Beauty,Positive,Broadcast,10s-30s,와 오늘 코디 까리하다,,,Casual,Phrase,Korean
꼬댕이,"Underachiever, slacker",Humor and Exaggerated,Negative,null,10s-20s,아 저 꼬댕이... 진짜 우리한테서 떨어졌으면 좋겠어..,The new slang words that teenagers used in their school life.,2015,Casual,Word,Korean
꼽주다,Make a snide remark,Negative Experiences,Negative,null,10s-20s,왜 자꾸 꼽줘? 기분 나빠;;,"The expression '꼽다,' which means to nag or annoy someone to the point of bothering them in the Jeolla-do dialect, is being used as a new slang term.",2021,Casual,Phrase,Korean
